ID,Week1-0to14,Week1-14to20,Week1-36to42,Week2-0to14,Week2-14to20,Week2-36to42,Week3-0to14,Week3-14to20,Week3-36to42,Week3-60to66,Week3-88to94,Week4-0to14,Week4-14to20,Week4-36to42,Week4-60to66,Week4-88to94,Week5-0to14,Week5-14to20,Week5-36to42,Week5-60to66,Week5-88to94,Avg-0to14,Avg-14-20,Avg-36to42,Avg-60to66,Avg-88to94,kc,ko,ssq_res,res2,res5,res27,res51,res72
ln69-5,0.694444444,1.722222222,4.472222222,0.694444444,2.111111111,3.638888889,0.694444444,2.194444444,4.055555556,3.694444444,2.083333333,0.305555556,3.083333333,6.666666667,8.222222222,2.083333333,0.277777778,2.944444444,6.472222222,5.861111111,3.361111111,0.533333333,2.411111111,5.061111111,5.925925926,2.509259259,-3.91609363572401E-008,2.790113,18.4623022868,0.3127980778,-0.7837117805,-2.4675980991,-3.4115131114,-0.1509748534
ln70-7,0.611111111,2.388888889,4.722222222,0.666666667,2.583333333,4.027777778,0.333333333,2.694444444,5.805555556,5.277777778,2.972222222,0.555555556,3.888888889,7.138888889,9,2.111111111,0.027777778,2.944444444,6.75,6.833333333,3.666666667,0.438888889,2.9,5.688888889,7.037037037,2.916666667,-0.0881524821,2.4949175338,6.6666569832,0.3860208716,-1.126591679,-1.3168528867,-1.6177499453,-0.9472167902
ln71-8,0.833333333,2.472222222,4.694444444,1.472222222,2.805555556,5.194444444,1.361111111,3.722222222,6.444444444,4.861111111,0.138888889,0.361111111,4.027777778,7.694444444,1.777777778,0.277777778,0.25,4.416666667,8.694444444,6.083333333,0.083333333,0.855555556,3.488888889,6.544444444,4.240740741,0.166666667,-0.074127463,4.5017942356,0.5863897853,0.6092774704,-0.4217800642,-0.0668527485,-0.0833692699,-0.1607874426
ln72-9,0.527777778,2.083333333,4.388888889,0.694444444,2.777777778,5.111111111,0.916666667,2.694444444,5.194444444,5.166666667,2.805555556,0.916666667,3.944444444,7.277777778,6.944444444,0.972222222,0.583333333,3.972222222,7.333333333,6.777777778,3.083333333,0.727777778,3.094444444,5.861111111,6.296296296,2.287037037,-0.0709215952,3.2345628611,4.0988315817,0.3227908355,-0.8927856353,-1.0751699114,-1.1866154352,-0.7959427983
ln73-0,0.777777778,1.916666667,4.25,0.861111111,2.305555556,3.305555556,,,,,,0.305555556,2.805555556,6.25,6.333333333,1.5,0.361111111,3.611111111,5.972222222,5.444444444,1.694444444,0.576388889,2.659722222,4.944444444,5.888888889,1.597222222,-0.0807569688,2.9047908869,0.9279239227,0.3766126737,-0.6341615136,-0.2301937303,-0.5073738187,-0.2711247794
ln74-1,1.388888889,2.444444444,4.222222222,2.472222222,2.888888889,4.361111111,,,,,,1.666666667,4.25,8.055555556,3.25,0.194444444,0.638888889,4.166666667,7.111111111,6,0.666666667,1.541666667,3.4375,5.9375,4.625,0.430555556,-3.37288471505941E-009,4.5418303511,10.2339590721,-0.166729472,-0.8092681103,-1.9422626289,-1.1169068679,2.1287039272
ln75-2,1.416666667,2.916666667,4.75,1.555555556,3.083333333,4.861111111,0.722222222,3.027777778,5.277777778,5.222222222,0.222222222,1.555555556,4.694444444,8.194444444,3.388888889,0.166666667,0.722222222,4.416666667,7.138888889,6.555555556,0.25,1.194444444,3.627777778,6.044444444,5.055555556,0.212962963,-3.47323514823203E-009,2.9593935043,25.4593061166,-0.2971295032,-1.9029601791,-3.3067559185,-2.4177157303,2.2293000414
ln76-3,0.194444444,1.777777778,3.277777778,0.083333333,1.694444444,2.805555556,0.361111111,2.75,4.027777778,3.944444444,2.388888889,0,1.388888889,5.777777778,6.888888889,1.472222222,0,0.472222222,5.416666667,4.25,0.861111111,0.127777778,1.616666667,4.261111111,5.027777778,1.574074074,-3.10426021239091E-007,6.6654583979,11.7646186151,1.885740392,2.2034517656,1.126875961,-1.3906675603,-0.3867769528
ln77-4,0.916666667,2.305555556,4.805555556,0.361111111,2.694444444,4.638888889,0.5,2.833333333,5.25,5.027777778,2.527777778,0.361111111,3.166666667,6.25,6.027777778,1.305555556,0,2.805555556,6.888888889,5.722222222,2.861111111,0.427777778,2.761111111,5.566666667,5.592592593,2.231481481,-0.0682112274,3.2625454256,2.0181567805,0.6290220302,-0.5543612739,-0.8473415731,-0.5838680425,-0.506243036
ln78-5,0.277777778,1.527777778,4.138888889,0.111111111,1.916666667,4.472222222,0,1.333333333,5.5,5.277777778,4.583333333,0,1.222222222,6.305555556,7.055555556,2.694444444,0,1.333333333,7.222222222,6.638888889,4.138888889,0.077777778,1.466666667,5.527777778,6.324074074,3.805555556,-3.51602992151555E-009,2.2568128021,32.9873145081,0.606991266,-0.1471570943,-3.3995005516,-4.2279041359,-1.7791693338
